time,x,y,z,w0,w1,w2,w3,vx,vy,vz,roll,pitch,yaw
0,6.05645142277e-05,5.30053030873e-05,0,-2.20698969901e-06,0.00158457068491,0.000382441529364,0.999998671434,2.52653494775e-06,4.85078303074e-06,0.0,0,0,3.54749508415e-05
0,6.05848492227e-05,5.30183477669e-05,0,-2.20717664507e-06,0.00158457068605,0.000382561091126,0.999998671388,2.52655399384e-06,4.85079036058e-06,0.0,0,0,3.5475113422e-05
0,6.06051853168e-05,5.30313924718e-05,0,-2.20736359382e-06,0.00158457068718,0.000382680654647,0.999998671342,2.52657304014e-06,4.8507976901e-06,0.0,0,0,3.5475276003e-05
0,6.06261388056e-05,5.30448324972e-05,0,-2.20755621052e-06,0.00158457068834,0.000382803843146,0.999998671295,2.52659266484e-06,4.85080524372e-06,0.0,0,0,3.54754435264e-05
0,6.0646477131e-05,5.30578772535e-05,0,-2.20774316476e-06,0.00158457068947,0.000382923410241,0.999998671249,2.52661171236e-06,4.85081257463e-06,0.0,0,0,3.54756061213e-05
0,6.06668165555e-05,5.30709220351e-05,0,-2.20793012172e-06,0.00158457069061,0.000383042979095,0.999998671204,2.52663076005e-06,4.85081990487e-06,0.0,0,0,3.54757687153e-05
0,6.06877734757e-05,5.30843621395e-05,0,-2.20812274686e-06,0.00158457069177,0.000383166173088,0.999998671156,2.52665038582e-06,4.85082745821e-06,0.0,0,0,3.54759362455e-05
0,6.07081151317e-05,5.30974069724e-05,0,-2.2083097093e-06,0.0015845706929,0.000383285745516,0.999998671111,2.52666943424e-06,4.8508347875e-06,0.0,0,0,3.54760988397e-05
0,6.07284578869e-05,5.31104518306e-05,0,-2.20849667444e-06,0.00158457069404,0.000383405319703,0.999998671065,2.52668848377e-06,4.85084211999e-06,0.0,0,0,3.54762614554e-05
0,6.07494182388e-05,5.3123892014e-05,0,-2.20868930803e-06,0.0015845706952,0.000383528519192,0.999998671017,2.52670811185e-06,4.85084967684e-06,0.0,0,0,3.54764290156e-05
0,6.07697632257e-05,5.31369369236e-05,0,-2.20887627866e-06,0.00158457069633,0.000383648096953,0.999998670972,2.52672716146e-06,4.85085700617e-06,0.0,0,0,3.54765916186e-05
0,6.07901093117e-05,5.31499818584e-05,0,-2.209063252e-06,0.00158457069746,0.000383767676473,0.999998670926,2.52674621195e-06,4.85086433727e-06,0.0,0,0,3.54767542349e-05
0,6.08110731084e-05,5.31634221617e-05,0,-2.20925590561e-06,0.00158457069862,0.000383890881582,0.999998670878,2.52676567094e-06,4.85087906802e-06,0.0,0,0,3.5476948109e-05
0,6.083142145e-05,5.31764672233e-05,0,-2.20944289738e-06,0.00158457069975,0.000384010464907,0.999998670833,2.5267837557e-06,4.85089268861e-06,0.0,0,0,3.54771280568e-05
0,6.08517708919e-05,5.31895123131e-05,0,-2.20962989128e-06,0.00158457070087,0.000384130050001,0.999998670787,2.52680177781e-06,4.85090611391e-06,0.0,0,0,3.54773068172e-05
0,6.08727381335e-05,5.32029527355e-05,0,-2.20982255439e-06,0.00158457070203,0.000384253260729,0.999998670739,2.52682034073e-06,4.85091992883e-06,0.0,0,0,3.54774908921e-05
0,6.08930898077e-05,5.32159978771e-05,0,-2.21000955369e-06,0.00158457070316,0.000384372849399,0.999998670693,2.52683835697e-06,4.85093333384e-06,0.0,0,0,3.5477669534e-05
0,6.09134425813e-05,5.32290430442e-05,0,-2.2101965557e-06,0.00158457070428,0.000384492439831,0.999998670647,2.52685637416e-06,4.8509467407e-06,0.0,0,0,3.54778481895e-05
0,6.09344132557e-05,5.3242483546e-05,0,-2.21038922727e-06,0.00158457070544,0.000384615656056,0.9999986706,2.52687493654e-06,4.85096055014e-06,0.0,0,0,3.54780322389e-05
0,6.09547682618e-05,5.32555287647e-05,0,-2.21057623477e-06,0.00158457070656,0.000384735250063,0.999998670554,2.52689295459e-06,4.85097395756e-06,0.0,0,0,3.54782109029e-05
0,6.09751243674e-05,5.32685740088e-05,0,-2.21076324499e-06,0.00158457070769,0.00038485484583,0.999998670508,2.52691097171e-06,4.85098736023e-06,0.0,0,0,3.54783895409e-05
0,6.09960984748e-05,5.32820145899e-05,0,-2.210955925e-06,0.00158457070885,0.000384978067554,0.99999867046,2.5269295365e-06,4.85100117493e-06,0.0,0,0,3.54785736289e-05
